21:54:58 macro number 657 / 3982, complete paths 0, partial paths 103000 (to-do list 34 / 66)
21:55:27 macro number 657 / 3982, complete paths 0, partial paths 104000 (to-do list 17 / 66)
21:55:54 macro number 657 / 3982, complete paths 0, partial paths 105000 (to-do list 28 / 66)
21:56:22 macro number 657 / 3982, complete paths 0, partial paths 106000 (to-do list 18 / 66)
21:56:50 macro number 657 / 3982, complete paths 0, partial paths 107000 (to-do list 8 / 66)
21:57:18 macro number 657 / 3982, complete paths 0, partial paths 108000 (to-do list 23 / 66)
21:57:46 macro number 657 / 3982, complete paths 0, partial paths 109000 (to-do list 8 / 66)
21:58:14 macro number 657 / 3982, complete paths 0, partial paths 110000 (to-do list 24 / 66)
21:58:42 macro number 657 / 3982, complete paths 0, partial paths 111000 (to-do list 10 / 66)
21:59:09 macro number 658 / 3982, complete paths 0, partial paths 112000 (to-do list 41 / 66)
21:59:37 macro number 658 / 3982, complete paths 0, partial paths 113000 (to-do list 19 / 66)
22:00:05 macro number 658 / 3982, complete paths 0, partial paths 114000 (to-do list 26 / 66)
22:00:33 macro number 658 / 3982, complete paths 0, partial paths 115000 (to-do list 6 / 66)
22:01:01 macro number 658 / 3982, complete paths 0, partial paths 116000 (to-do list 16 / 66)
22:01:29 macro number 658 / 3982, complete paths 0, partial paths 117000 (to-do list 29 / 66)
22:01:58 macro number 658 / 3982, complete paths 0, partial paths 118000 (to-do list 9 / 66)
22:02:26 macro number 658 / 3982, complete paths 0, partial paths 119000 (to-do list 18 / 66)
22:02:54 macro number 658 / 3982, complete paths 0, partial paths 120000 (to-do list 30 / 66)
22:03:22 macro number 658 / 3982, complete paths 0, partial paths 121000 (to-do list 8 / 66)
22:03:49 macro number 658 / 3982, complete paths 0, partial paths 122000 (to-do list 18 / 66)
22:04:16 macro number 658 / 3982, complete paths 0, partial paths 123000 (to-do list 30 / 66)
22:04:44 macro number 658 / 3982, complete paths 0, partial paths 124000 (to-do list 8 / 66)
22:05:12 macro number 658 / 3982, complete paths 0, partial paths 125000 (to-do list 17 / 66)
22:05:39 macro number 658 / 3982, complete paths 0, partial paths 126000 (to-do list 28 / 66)
22:06:07 macro number 658 / 3982, complete paths 0, partial paths 127000 (to-do list 11 / 66)
22:06:34 macro number 658 / 3982, complete paths 0, partial paths 128000 (to-do list 23 / 66)
22:07:02 macro number 658 / 3982, complete paths 0, partial paths 129000 (to-do list 33 / 66)
22:07:30 macro number 658 / 3982, complete paths 0, partial paths 130000 (to-do list 10 / 66)
